state,population_m,tj_stores,median_income_k,bachelor_pct,urban_pct
California,38.9,208,84.1,35,95
New York,19.6,38,75.2,38,88
Massachusetts,7.0,28,93.6,46,92
New Jersey,9.3,27,97.1,42,95
Virginia,8.7,22,87.2,40,76
Washington,7.8,18,90.3,38,84
Illinois,12.5,18,78.4,36,89
Pennsylvania,12.9,17,73.1,33,79
Texas,30.5,17,73.0,32,86
Colorado,5.9,16,87.6,44,86
Maryland,6.2,15,98.5,41,87
Florida,22.6,14,67.9,32,91
Georgia,11.0,12,71.4,33,75
Arizona,7.4,12,72.6,32,90
North Carolina,10.8,11,67.4,34,68
Ohio,11.8,11,66.6,30,78
Connecticut,3.6,9,84.1,42,88
Michigan,10.0,9,68.5,32,75
Oregon,4.2,9,76.4,38,81
Minnesota,5.7,8,84.3,38,73
Missouri,6.2,6,66.5,31,71
Indiana,6.8,5,67.2,29,72
Wisconsin,5.9,5,72.5,31,70
Tennessee,7.1,4,64.0,29,67
Kansas,2.9,4,69.0,35,74
Oklahoma,4.0,3,61.4,27,67
South Carolina,5.4,3,63.6,31,68
Louisiana,4.6,2,57.7,25,73
Alabama,5.1,2,59.7,27,59
Nebraska,2.0,2,71.8,32,73
Kentucky,4.5,2,60.2,26,58
Utah,3.4,2,86.8,36,90
Iowa,3.2,2,70.6,30,64
Arkansas,3.1,1,55.4,24,56
New Mexico,2.1,1,58.7,29,77
Nevada,3.2,1,71.6,27,94
Idaho,2.0,1,70.2,30,71
Mississippi,2.9,0,52.9,23,49
West Virginia,1.8,0,55.2,23,49
Montana,1.1,0,67.6,34,55
South Dakota,0.9,0,69.5,30,57
North Dakota,0.8,0,73.9,31,60
Wyoming,0.6,0,71.0,29,65
Alaska,0.7,0,86.4,30,66
Hawaii,1.4,0,94.8,34,92
