state,trends_score
California,94
Massachusetts,70
Washington,69
Oregon,65
Arizona,57
Nevada,57
New Jersey,54
Connecticut,54
Utah,53
New York,53
Maryland,46
Illinois,45
Rhode Island,44
Virginia,44
Colorado,43
Minnesota,43
Hawaii,39
Idaho,38
New Hampshire,37
Pennsylvania,36
Delaware,36
North Carolina,36
Vermont,35
Florida,34
New Mexico,33
South Carolina,32
Georgia,32
Tennessee,30
Michigan,30
Maine,29
Missouri,29
Texas,28
Oklahoma,28
Nebraska,28
Kansas,27
Louisiana,27
Iowa,25
Wisconsin,24
Ohio,24
Alabama,22
Kentucky,21
Indiana,20
Wyoming,19
Arkansas,18
Montana,13
Alaska,12
South Dakota,11
North Dakota,10
West Virginia,10
Mississippi,9
