sku_id,category,product,unit,notes
1,dairy,Whole milk (gallon),1 gal,National brand baseline
2,dairy,Eggs (large dozen),12 ct,
3,dairy,Greek yogurt plain,32 oz,
4,dairy,Sharp cheddar block,8 oz,
5,produce,Bananas,1 lb,
6,produce,Avocados (each),1 ea,
7,produce,Strawberries,16 oz,
8,produce,Baby spinach,5 oz,
9,pantry,Olive oil extra virgin,16.9 oz,500ml
10,pantry,Pasta penne,16 oz,
11,pantry,Marinara sauce,24 oz,
12,pantry,Peanut butter creamy,16 oz,
13,frozen,Frozen pizza margherita,~12 in,
14,frozen,Frozen mixed berries,12 oz,
15,frozen,Ice cream vanilla,1 pint,
16,snacks,Tortilla chips,12 oz,
17,snacks,Hummus classic,10 oz,
18,snacks,Granola bars (box),6-pack,
19,proteins,Chicken breast boneless,1 lb,
20,proteins,Ground beef 85/15,1 lb,
21,proteins,Atlantic salmon,1 lb,
22,beverages,Sparkling water (lacroix style),8-pack 12oz,
23,beverages,Coffee whole bean,12 oz,
24,beverages,Orange juice,52 oz,
25,household,Paper towels,6 rolls,
